codigo,nombre,precio,iva,deposito,codigo_barras,stock_min,stock
2000317,GADAVYT PROTEIN PA 10G/30ML X 900 ML,0.0,5,INTERNADO(3),854933100210,0.0,0.0
2000317,GADAVYT PROTEIN PA 10G/30ML X 900 ML,0.0,5,QUIROFANO(4),854933100210,0.0,0.0
2000317,GADAVYT PROTEIN PA 10G/30ML X 900 ML,0.0,5,ADMINISTRACION,854933100210,0.0,0.0
2000317,GADAVYT PROTEIN PA 10G/30ML X 900 ML,0.0,5,CARRO DE PARO,854933100210,0.0,0.0
2000318,GADOLIP 135MG X 30 CAPS,0.0,5,URGENCIAS(2),7792183000719,0.0,0.0
2000318,GADOLIP 135MG X 30 CAPS,0.0,5,INTERNADO(3),7792183000719,0.0,0.0
2000318,GADOLIP 135MG X 30 CAPS,0.0,5,QUIROFANO(4),7792183000719,0.0,0.0
2000319,GASTIFLAT PLUS X 30 COMP,0.0,5,URGENCIAS(2),7840213034606,0.0,0.0
2000319,GASTIFLAT PLUS X 30 COMP,0.0,5,INTERNADO(3),7840213034606,0.0,0.0
2000319,GASTIFLAT PLUS X 30 COMP,0.0,5,QUIROFANO(4),7840213034606,0.0,0.0
2000320,GASTOP 200MG X 10 CAPS BLAN (SIMETICONA),0.0,5,URGENCIAS(2),7841134019765,0.0,0.0
2000320,GASTOP 200MG X 10 CAPS BLAN (SIMETICONA),0.0,5,INTERNADO(3),7841134019765,0.0,0.0
2000320,GASTOP 200MG X 10 CAPS BLAN (SIMETICONA),0.0,5,QUIROFANO(4),7841134019765,0.0,0.0
2000321,GASTRICALM 20MG X 10 CAPS,0.0,5,URGENCIAS(2),7840282033975,0.0,0.0
2000321,GASTRICALM 20MG X 10 CAPS,0.0,5,INTERNADO(3),7840282033975,0.0,0.0
2000321,GASTRICALM 20MG X 10 CAPS,0.0,5,QUIROFANO(4),7840282033975,0.0,0.0
2000322,OMEPRAZOL 40MG (QUIMFA),125424.0,5,URGENCIAS(2),7841134000664,0.0,15.0
2000322,OMEPRAZOL 40MG (QUIMFA),125424.0,5,INTERNADO(3),7841134000664,0.0,0.0
2000322,OMEPRAZOL 40MG (QUIMFA),125424.0,5,QUIROFANO(4),7841134000664,0.0,0.0
2000323,GELASPAN 500ML,0.0,5,URGENCIAS(2),7501052712697,0.0,0.0
2000323,GELASPAN 500ML,0.0,5,INTERNADO(3),7501052712697,0.0,0.0
